               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.031648,            0.013492,                   0,             0.84133,             0.74356,             0.83611,             0.45585,            0.038511,            0.027199,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.032409,            0.014367,                   0,             0.81031,             0.75589,             0.82897,             0.46294,             0.03814,            0.027482,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.032222,            0.014115,                   0,              0.8457,             0.74229,             0.83375,             0.46184,            0.038199,              0.0275,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.031438,            0.013905,                   0,             0.85019,             0.74169,             0.83625,             0.46429,            0.038093,            0.027171,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.031042,            0.013714,                   0,             0.83699,             0.74643,             0.83728,             0.46397,            0.037848,            0.027735,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.031288,            0.013662,                   0,             0.82396,             0.75601,             0.82909,             0.45019,            0.038677,            0.027667,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,             0.03102,            0.013759,                   0,              0.8388,             0.76026,              0.8414,             0.46013,            0.038089,             0.02693,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,             0.03029,            0.013758,                   0,             0.81658,             0.77533,             0.83882,             0.46959,            0.037733,            0.027194,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,             0.03118,            0.013835,                   0,             0.83519,             0.74414,             0.83418,             0.46186,            0.038097,            0.027622,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.030813,            0.013788,                   0,             0.84205,             0.73585,             0.82908,             0.46274,            0.038169,            0.028241,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.031919,            0.013844,                   0,             0.85375,             0.74009,             0.83705,             0.46506,            0.037916,            0.027821,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.031979,             0.01395,                   0,             0.84546,             0.74308,             0.83699,             0.46389,            0.037906,            0.027153,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.031693,            0.014079,                   0,             0.83273,             0.74203,             0.83566,             0.46242,            0.037645,            0.026971,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.032474,            0.014242,                   0,             0.82689,              0.7511,             0.83151,             0.45889,            0.038296,            0.027259,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.031058,            0.013896,                   0,             0.83459,             0.75202,             0.83431,             0.45812,             0.03835,            0.027257,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.030904,            0.013914,                   0,             0.84738,             0.75008,             0.84033,             0.46414,            0.037943,            0.027057,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,             0.03135,            0.013849,                   0,             0.85448,             0.75017,             0.84478,             0.46971,              0.0378,            0.027117,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.030775,            0.013546,                   0,             0.82643,             0.76505,             0.84211,             0.46754,            0.037808,            0.027442,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.030396,            0.013536,                   0,             0.81991,             0.76579,             0.83888,             0.46707,            0.037772,            0.027725,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.031602,            0.013868,                   0,              0.8508,             0.73789,             0.83547,             0.46474,            0.037774,            0.028182,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.030853,            0.013551,                   0,             0.82901,             0.76285,             0.83764,             0.46489,            0.037819,            0.027928,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.030773,            0.013429,                   0,             0.82791,             0.76579,             0.83938,             0.46335,            0.037854,            0.027598,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.030649,            0.013608,                   0,             0.83707,             0.76196,             0.83769,             0.46451,            0.037881,            0.027789,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.030651,            0.013905,                   0,             0.83214,             0.75709,             0.83303,             0.46325,            0.038046,            0.028012,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.031137,            0.013673,                   0,             0.84168,             0.75724,             0.83601,             0.45892,             0.03826,            0.027738,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.031305,            0.013733,                   0,             0.83455,             0.75771,             0.83626,             0.45925,            0.038199,            0.027505,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.031144,            0.013836,                   0,             0.84123,             0.76432,             0.83898,              0.4636,            0.038006,              0.0275,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.030821,            0.013649,                   0,             0.83902,             0.76065,             0.83916,             0.46386,            0.037923,            0.027557,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.031025,            0.013588,                   0,             0.82406,             0.76579,             0.83541,             0.45893,            0.038142,            0.027716,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.030117,            0.013597,                   0,             0.82574,             0.76191,             0.83806,             0.46393,            0.037924,            0.027726,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.029799,            0.013243,                   0,             0.83059,             0.75955,              0.8379,             0.46438,            0.037951,            0.027678,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.030482,            0.013854,                   0,             0.83423,             0.76285,             0.83879,             0.46489,             0.03791,            0.027606,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.030964,            0.013575,                   0,             0.82798,             0.76505,             0.83787,             0.46339,            0.037967,            0.027515,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.030721,            0.014092,                   0,             0.82617,              0.7677,             0.83873,              0.4612,            0.038139,            0.027406,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.030749,            0.013623,                   0,             0.83128,             0.76725,             0.83829,             0.46463,            0.038086,            0.027482,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.030008,            0.013081,                   0,             0.83014,             0.76073,             0.83693,             0.46397,            0.038087,            0.027636,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.030204,            0.013443,                   0,             0.82675,             0.76065,             0.83408,             0.46464,            0.038133,            0.027645,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.030713,            0.013595,                   0,             0.83557,             0.75741,             0.83546,             0.46446,            0.038155,            0.027507,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.030026,            0.013426,                   0,             0.82983,             0.75903,             0.83403,             0.46373,            0.038154,            0.027589,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.030611,            0.013607,                   0,             0.82573,             0.76534,             0.83806,             0.46274,            0.038194,            0.027321,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.029934,            0.013417,                   0,             0.81677,             0.76584,             0.83562,             0.46342,            0.038173,            0.027527,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.029453,            0.013295,                   0,             0.81853,             0.77019,             0.83816,             0.46377,             0.03817,             0.02758,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.029868,            0.013241,                   0,              0.8648,             0.72614,             0.83661,             0.46114,            0.038404,            0.027646,                   0,           0.0071686,           0.0071686,           0.0071686
